"","lambda","mu","nu","q","seed","crown_age","cond","site_model","clock_model","tree_prior","gen_model","best_or_gen","nltt_1","nltt_2","nltt_3","nltt_4"
"98",0.2,0.15,1,0.1,1,6,1,"GTR","strict","birth_death","mbd","best",0.0342726202060027,0.0811679623264318,0.0902096896170017,0.176836232969355
"99",0.2,0.15,1,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.0540311407615582,0.0819464339925054,0.0791625445976136,0.111838959045159
"100",0.2,0.15,1,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.0342726202060027,0.0945151653199044,0.0858772149516243,0.0861374151260204
"101",0.2,0.15,1,0.1,2,6,1,"JC69","strict","birth_death","bd","best",0.233256344202073,0.284279345858796,0.253973707419347,0.247845511194171
"102",0.2,0.15,1,0.1,2,6,1,"JC69","strict","yule","mbd","best",0.0925697537796994,0.113637716253064,0.0523111091518905,0.146399479966599
"103",0.2,0.15,1,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.233256344202073,0.293055245072197,0.320314799361481,0.306032961832188
"104",0.2,0.15,1,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.0925697537796994,0.145931771322292,0.168037328913271,0.166828758607663
"105",0.2,0.15,1,0.15,1,6,1,"GTR","strict","birth_death","bd","best",0.217595644965629,0.256055552169658,0.234079004894261,0.206044909863522
"106",0.2,0.15,1,0.15,1,6,1,"JC69","strict","yule","mbd","best",0.171410586211439,0.237090510888238,0.206016962452987,0.199239108721095
"107",0.2,0.15,1,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.217595644965629,0.201456721533963,0.145699263673206,0.100940826182222
"108",0.2,0.15,1,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.171410586211439,0.185860784748587,0.135172129959138,0.0899185950492002
"109",0.2,0.15,1,0.15,2,6,1,"GTR","strict","birth_death","bd","best",0.0792746423995075,0.163948470666362,0.125110731858551,0.154103206174561
"110",0.2,0.15,1,0.15,2,6,1,"GTR","strict","birth_death","mbd","best",0.0875119223995075,0.0592974971944994,0.145659647038343,0.184271479598821
"111",0.2,0.15,1,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.0792746423995075,0.185299268845553,0.19148351777453,0.170553800111351
"112",0.2,0.15,1,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.0875119223995075,0.178777527902947,0.0904674685084153,0.128741403109417
"113",0.2,0.15,1,0.2,1,6,1,"GTR","strict","birth_death","bd","best",0.146088224982128,0.194184004514445,0.19723031081409,0.196699119931986
"114",0.2,0.15,1,0.2,1,6,1,"GTR","strict","birth_death","mbd","best",0.155282199081227,0.17551706780163,0.150927626200581,0.133941409906917
"115",0.2,0.15,1,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.146088224982128,0.192831379690719,0.187141784984675,0.194491724049193
"116",0.2,0.15,1,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.155282199081227,0.175504169654647,0.159795503596596,0.164694156580405
"117",0.2,0.15,1,0.2,2,6,1,"GTR","strict","birth_death","bd","best",0.203279804196366,0.24840777238074,0.259368451846784,0.24482197489352
"118",0.2,0.15,1,0.2,2,6,1,"GTR","strict","birth_death","mbd","best",0.111868838183253,0.182745597613078,0.184501696133977,0.172331588413724
"119",0.2,0.15,1,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.203279804196366,0.245282896082423,0.257217241415626,0.278666351301474
"120",0.2,0.15,1,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.111868838183253,0.171419907049381,0.14952521606622,0.122903026739967
"121",0.2,0.15,1.5,0.1,1,6,1,"JC69","strict","birth_death","bd","best",0.274251091892716,0.285207596531197,0.125794228141502,0.132683590356339
"122",0.2,0.15,1.5,0.1,1,6,1,"JC69","strict","birth_death","mbd","best",0.298673156522346,0.318532859396599,0.279240528678852,0.183472750064713
"123",0.2,0.15,1.5,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.274251091892716,0.238196872767991,0.030451564488426,0.0930908073101439
"124",0.2,0.15,1.5,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.298673156522346,0.176289549555723,0.161238761835569,0.068306263864295
"125",0.2,0.15,1.5,0.1,2,6,1,"JC69","strict","birth_death","bd","best",0.0317470970582824,0.0945050265272779,0.086720732853637,0.0980452846675817
"126",0.2,0.15,1.5,0.1,2,6,1,"JC69","strict","yule","mbd","best",0.0586446399936034,0.089649320992822,0.0274423452494173,0.0331947072271774
"127",0.2,0.15,1.5,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.0317470970582824,0.087427417670914,0.0843281892590852,0.095196119467831
"128",0.2,0.15,1.5,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.0586446399936034,0.0365682172615992,0.0512209446151032,0.0671092508712287
"129",0.2,0.15,1.5,0.15,1,6,1,"JC69","strict","yule","bd","best",0.295717666733793,0.346937541158773,0.19560515473737,0.184298410030616
"130",0.2,0.15,1.5,0.15,1,6,1,"JC69","strict","birth_death","mbd","best",0.27640452140046,0.342845109867564,0.241592290278935,0.117950688904697
"131",0.2,0.15,1.5,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.295717666733793,0.353814551485262,0.340596019604322,0.306431504201178
"132",0.2,0.15,1.5,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.27640452140046,0.362665211257914,0.252913809406885,0.272431360253394
"133",0.2,0.15,1.5,0.15,2,6,1,"GTR","strict","birth_death","bd","best",0.139015196087652,0.288102305812613,0.295923583226291,0.278337798733376
"134",0.2,0.15,1.5,0.15,2,6,1,"JC69","strict","birth_death","mbd","best",0.15439819270329,0.24705462882153,0.239143054442039,0.187489726608995
"135",0.2,0.15,1.5,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.139015196087652,0.273811377038326,0.285114053582449,0.26894958454262
"136",0.2,0.15,1.5,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.15439819270329,0.214973321734635,0.26296243396292,0.255725800021044
"137",0.2,0.15,1.5,0.2,1,6,1,"JC69","strict","birth_death","bd","best",0.288553042423926,0.285720874252018,0.267253051464852,0.235394178525562
"138",0.2,0.15,1.5,0.2,1,6,1,"JC69","strict","yule","mbd","best",0.204161518187379,0.216180380558767,0.213645534990482,0.180694529877229
"139",0.2,0.15,1.5,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.288553042423926,0.275236346739028,0.277243827260611,0.250973303960159
"140",0.2,0.15,1.5,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.204161518187379,0.193636563820644,0.178862496524999,0.152063395645665
"141",0.2,0.15,1.5,0.2,2,6,1,"GTR","strict","birth_death","bd","best",0.248880229836483,0.257062648150026,0.283000927870381,0.232172748607569
"142",0.2,0.15,1.5,0.2,2,6,1,"JC69","strict","birth_death","mbd","best",0.200652127574579,0.23747741156433,0.231393389265405,0.234454954987458
"143",0.2,0.15,1.5,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.248880229836483,0.269485117662827,0.281484871543883,0.252193959870055
"144",0.2,0.15,1.5,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.200652127574579,0.255245392604872,0.262438301273038,0.257605631578147
"145",0.2,0.15,2,0.1,1,6,1,"JC69","strict","yule","bd","best",0.202382127629206,0.184054443097836,0.15333576987052,0.149533808623136
"146",0.2,0.15,2,0.1,1,6,1,"GTR","strict","birth_death","mbd","best",0.143752954087539,0.16789869207178,0.140094576097828,0.159557263740628
"147",0.2,0.15,2,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.202382127629206,0.176998669948704,0.0991732965079145,0.095990673904302
"148",0.2,0.15,2,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.143752954087539,0.122155624494144,0.095419540946065,0.0749702313332683
"149",0.2,0.15,2,0.1,2,6,1,"JC69","strict","birth_death","bd","best",0.246923191622198,0.214451930906636,0.212382968055913,0.132127041104434
"150",0.2,0.15,2,0.1,2,6,1,"GTR","strict","birth_death","mbd","best",0.178182200669817,0.203809659137428,0.221336390002741,0.211521178611815
"151",0.2,0.15,2,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.246923191622198,0.280755058057807,0.268014347127825,0.27825105369346
"152",0.2,0.15,2,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.178182200669817,0.213594963431319,0.222429662972019,0.203426871106277
"153",0.2,0.15,2,0.15,1,6,1,"GTR","strict","birth_death","bd","best",0.257915543369931,0.259724739640188,0.257026454532781,0.259392438992229
"154",0.2,0.15,2,0.15,1,6,1,"JC69","strict","yule","mbd","best",0.214035141881835,0.196859435068006,0.18888747072358,0.169076018045247
"155",0.2,0.15,2,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.257915543369931,0.246212080438622,0.249843073253934,0.240201333770396
"156",0.2,0.15,2,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.214035141881835,0.20561658697693,0.199715601201972,0.199330153117803
"157",0.2,0.15,2,0.15,2,6,1,"GTR","strict","birth_death","bd","best",0.237473263354135,0.239681600765392,0.219283463876601,0.182086348846186
"158",0.2,0.15,2,0.15,2,6,1,"JC69","strict","birth_death","mbd","best",0.150412380229135,0.225740180964283,0.226508062070938,0.215148871237219
"159",0.2,0.15,2,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.237473263354135,0.286705470842301,0.291628481720013,0.2891063214764
"160",0.2,0.15,2,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.150412380229135,0.175376336963416,0.179601302449013,0.156700734535912
"161",0.2,0.15,2,0.2,1,6,1,"GTR","strict","birth_death","bd","best",0.261017589854481,0.238665101143016,0.249245829582935,0.197102550020282
"162",0.2,0.15,2,0.2,1,6,1,"JC69","strict","birth_death","mbd","best",0.154912803535037,0.175083510658063,0.155028660641363,0.160908232876074
"163",0.2,0.15,2,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.261017589854481,0.204395844980248,0.189554362357191,0.177332074226967
"164",0.2,0.15,2,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.154912803535037,0.12806128531161,0.0833320015470287,0.0805183677081269
"165",0.2,0.15,2,0.2,2,6,1,"GTR","strict","birth_death","bd","best",0.196304771799359,0.235411569552049,0.24473268148398,0.236739339168497
"166",0.2,0.15,2,0.2,2,6,1,"GTR","strict","birth_death","mbd","best",0.202144364896999,0.205530839934885,0.182304468411225,0.210920073658133
"167",0.2,0.15,2,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.196304771799359,0.228263271750742,0.220754308429316,0.22166892064109
"168",0.2,0.15,2,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.202144364896999,0.226924785035317,0.233696244329948,0.224810003110514
"169",0.2,0.15,2.5,0.1,1,6,1,"GTR","strict","birth_death","bd","best",0.274630342448272,0.330143136803569,0.293857015467453,0.28367759740653
"170",0.2,0.15,2.5,0.1,1,6,1,"GTR","strict","birth_death","mbd","best",0.301844441151976,0.327451522299526,0.123814148582214,0.144103141100313
"171",0.2,0.15,2.5,0.1,1,6,1,"JC69","strict","birth_death","bd","gen",0.274630342448272,0.3409652634459,0.251446587053051,0.314472517197741
"172",0.2,0.15,2.5,0.1,1,6,1,"JC69","strict","birth_death","mbd","gen",0.301844441151976,0.356528835647665,0.350299883915159,0.302116320398786
"173",0.2,0.15,2.5,0.1,2,6,1,"JC69","strict","birth_death","bd","best",0.158639389553043,0.155900004961403,0.189673683765361,0.224297860577771
"174",0.2,0.15,2.5,0.1,2,6,1,"JC69","strict","yule","mbd","best",0.118386134992551,0.194083803188903,0.171757426403212,0.201013245450952
"175",0.2,0.15,2.5,0.1,2,6,1,"JC69","strict","birth_death","bd","gen",0.158639389553043,0.198677073754571,0.22548931909972,0.198027749083842
"176",0.2,0.15,2.5,0.1,2,6,1,"JC69","strict","birth_death","mbd","gen",0.118386134992551,0.179872436219658,0.0295326285543255,0.131987015908044
"177",0.2,0.15,2.5,0.15,1,6,1,"JC69","strict","birth_death","bd","best",0.0363773717487385,0.0930925483656783,0.0856700457431045,0.14454509761548
"178",0.2,0.15,2.5,0.15,1,6,1,"JC69","strict","birth_death","mbd","best",0.0340782529320804,0.0616382181690732,0.0605711533730374,0.0626740311432954
"179",0.2,0.15,2.5,0.15,1,6,1,"JC69","strict","birth_death","bd","gen",0.0363773717487385,0.0938135732169926,0.0873752207719907,0.0964686531144992
"180",0.2,0.15,2.5,0.15,1,6,1,"JC69","strict","birth_death","mbd","gen",0.0340782529320804,0.0636763413754578,0.0470914340073125,0.0382055500697999
"181",0.2,0.15,2.5,0.15,2,6,1,"JC69","strict","birth_death","bd","best",0.241982733705943,0.249267326235039,0.241053294298105,0.217994396810854
"182",0.2,0.15,2.5,0.15,2,6,1,"JC69","strict","birth_death","mbd","best",0.2437645409709,0.251216181725696,0.244842705470457,0.241663033749423
"183",0.2,0.15,2.5,0.15,2,6,1,"JC69","strict","birth_death","bd","gen",0.241982733705943,0.236665339756898,0.219656999821356,0.210685922420146
"184",0.2,0.15,2.5,0.15,2,6,1,"JC69","strict","birth_death","mbd","gen",0.2437645409709,0.248896336295109,0.252899924754364,0.255074510329576
"185",0.2,0.15,2.5,0.2,1,6,1,"GTR","strict","birth_death","bd","best",0.185286569270845,0.202969869586435,0.202543937072776,0.202700923468344
"186",0.2,0.15,2.5,0.2,1,6,1,"JC69","strict","yule","mbd","best",0.189379801208515,0.17908376309153,0.184798583568416,0.188825306294365
"187",0.2,0.15,2.5,0.2,1,6,1,"JC69","strict","birth_death","bd","gen",0.185286569270845,0.195260897827269,0.189542089793748,0.195548641971332
"188",0.2,0.15,2.5,0.2,1,6,1,"JC69","strict","birth_death","mbd","gen",0.189379801208515,0.189316884500797,0.193070565997642,0.196525276467779
"189",0.2,0.15,2.5,0.2,2,6,1,"JC69","strict","birth_death","bd","best",0.234579769542056,0.256691266293318,0.2543671418123,0.250404868954278
"190",0.2,0.15,2.5,0.2,2,6,1,"JC69","strict","yule","mbd","best",0.264374401002861,0.287523746673161,0.282772360572938,0.276019670181443
"191",0.2,0.15,2.5,0.2,2,6,1,"JC69","strict","birth_death","bd","gen",0.234579769542056,0.276890391225233,0.267346922427332,0.263701366079368
"192",0.2,0.15,2.5,0.2,2,6,1,"JC69","strict","birth_death","mbd","gen",0.264374401002861,0.284577234918525,0.294519086231199,0.290682115655835
